Item1,Item2,Support,Confidence,Lift
"('Cambodia',)","('Non-IACS',)",15.41%,97.29%,2.040
"('Cambodia',)","('Non-IACS', 'FOCs')",15.41%,97.29%,3.117
"('Non-IACS', 'Cambodia')","('FOCs',)",15.41%,100.00%,1.496
"('FOCs', 'Cambodia')","('Non-IACS',)",15.41%,97.29%,2.040
"('FOCs', 'TON<2000', 'General cargo/multipurpose')","('Non-IACS',)",15.42%,94.47%,1.981
"('FOCs', 'Non-IACS', 'TON<2000')","('General cargo/multipurpose',)",15.42%,85.31%,1.782
"('ONE-141',)","('ONE-14',)",15.50%,100.00%,5.233
"('ONE-14',)","('ONE-141',)",15.50%,81.09%,5.233
"('TON>20000', 'Bulk carrier')","('IACS',)",15.78%,92.80%,1.774
"('Cambodia',)","('FOCs',)",15.83%,100.00%,1.496
"('FOCs', 'TON<2000')","('General cargo/multipurpose',)",16.33%,82.27%,1.719
"('FOCs', 'Non-IACS', 'YEAR[15~30)')","('General cargo/multipurpose',)",16.34%,83.05%,1.735
"('TON>20000', 'FOCs')","('IACS',)",16.96%,94.62%,1.809
"('TON<2000', 'YEAR[15~30)')","('Non-IACS',)",17.92%,90.63%,1.900
"('TON<2000', 'FOCs')","('Non-IACS',)",18.08%,91.11%,1.911
"('IACS', 'Panama')","('FOCs',)",18.10%,100.00%,1.496
"('TON<2000', 'General cargo/multipurpose')","('Non-IACS',)",19.61%,92.06%,1.930
"('Bulk carrier',)","('IACS',)",20.17%,84.57%,1.617
"('TON>20000',)","('IACS',)",23.77%,93.80%,1.793
"('TON<2000',)","('Non-IACS',)",25.52%,87.03%,1.825
"('Panama',)","('FOCs',)",26.17%,100.00%,1.496
