Item1,Item2,Support,Confidence,Lift
"('ONE-07',)","('FOCs',)",25.30%,64.97%,0.972
"('TON<2000',)","('Non-IACS',)",25.52%,87.03%,1.825
"('Panama',)","('FOCs',)",26.17%,100.00%,1.496
"('DAY[1~3)',)","('FOCs',)",26.59%,66.82%,0.999
"('Non-IACS',)","('FOCs',)",31.21%,65.45%,0.979
"('General cargo/multipurpose',)","('FOCs',)",32.87%,68.66%,1.027
"('Non-IACS',)","('General cargo/multipurpose',)",34.81%,73.00%,1.525
"('General cargo/multipurpose',)","('Non-IACS',)",34.81%,72.73%,1.525
"('IACS',)","('FOCs',)",35.66%,68.16%,1.019
"('YEAR[15~30)',)","('FOCs',)",35.75%,67.84%,1.015
